player_name,team,season,position,minutes_played,goals,assists,yellow_cards,red_cards
Bernardo Espinosa,Girona,s2223,   D(C),846.0,0.0,1.0,3.0,0.0
Bertrand Traoré,Villarreal,s2324,Not Available,569.0,1.0,0.0,4.0,0.0
Bertuğ Yıldırım,Getafe,s2425,FW,77.0,0.0,0.0,0.0,0.0
Beñat Prados,Athletic Club,s2324,Not Available,1450.0,0.0,0.0,1.0,0.0
Beñat Prados,Athletic Club,s2425,DM,56.0,0.0,0.0,1.0,0.0
Beñat Turrientes,Real Sociedad,s2223,   Midfielder,102.0,0.0,0.0,0.0,0.0
Beñat Turrientes,Real Sociedad,s2324,Not Available,1688.0,0.0,1.0,4.0,0.0
Beñat Turrientes,Real Sociedad,s2425,LM,67.0,0.0,0.0,0.0,0.0
Beñat Turrientes,Real Sociedad B,s2122,Midfielder,1751.0,0.0,1.0,4.0,0.0
Bojan Miovski,Girona,s2425,FW,32.0,0.0,0.0,0.0,0.0
Borja García,Girona,s2223,   AM(CL),447.0,1.0,0.0,1.0,0.0
Borja Iglesias,Celta de Vigo,s2425,FW,13.0,0.0,0.0,0.0,0.0
Borja Iglesias,Real Betis,s2122,Forward,1570.0,10.0,0.0,4.0,0.0
