player_name,team,position,assists,goals,minutes_played,red_cards,yellow_cards,season
Clément Grenier,RCD Mallorca,Midfielder,,1.0,56.0,,1.0,s2122
Clément Lenglet,FC Barcelona,Defender,1.0,,818.0,,4.0,s2122
Jorge Andújar Moreno,Levante UD,Defender,,1.0,114.0,,1.0,s2122
Jorge Carrillo Balea,RC Celta,Goalkeeper,,,,,,s2122
José Ángel Valdés Díaz,CA Osasuna,Defender,1.0,1.0,1084.0,1.0,2.0,s2122
Cristhian Mosquera,Valencia CF,Defender,,,209.0,,1.0,s2122
Cristian Rivero,AD Alcorcón,Goalkeeper,,,270.0,,,s2122
Cristian Tello,Real Betis,Forward,2.0,2.0,807.0,,2.0,s2122
Cristiano Piccini,,,,,,,,s2122
Cristo Romero,Real Sociedad,Defender,,,16.0,,,s2122
Cesar Moreno,,,,,,,,s2122
César Tárrega,Valencia CF,Defender,,,,,,s2122
Damián Rodríguez,RC Celta,Midfielder,,,,,,s2122
Damián Suárez,Getafe CF,Defender,3.0,,2720.0,,13.0,s2122
Daniel Alves da Silva,FC Barcelona,Defender,3.0,1.0,1103.0,1.0,2.0,s2122
Dani Ceballos,Real Madrid,Midfielder,,,267.0,,1.0,s2122
Daniel García Carrillo,Athletic Club,Midfielder,,,2190.0,,9.0,s2122
Daniel Gómez Alcón,Levante UD,Forward,2.0,4.0,1060.0,,1.0,s2122
Daniel Raba Antolín,Granada CF,Forward,,,24.0,,,s2122
Daniel José Rodríguez Vázquez,RCD Mallorca,Midfielder,3.0,3.0,2838.0,,7.0,s2122
Daniel Vivian,Athletic Club,Defender,1.0,2.0,1985.0,,2.0,s2122
Daniel Carvajal,Real Madrid,Defender,3.0,1.0,1549.0,,1.0,s2122
Daniel Cárdenas,Levante UD,Goalkeeper,,,2160.0,,3.0,s2122
Daniel Parejo,Villarreal CF,Midfielder,10.0,2.0,2708.0,,3.0,s2122
Daniel Rebollo,Real Betis,Goalkeeper,,,,,,s2122
Daniel Villahermosa,RCD Espanyol de Barcelona,Midfielder,,,22.0,,,s2122
Daniel Wass,Atlético de Madrid,Midfielder,,,45.0,,1.0,s2122
Darko Brašanac,CA Osasuna,Midfielder,2.0,1.0,2412.0,,9.0,s2122
Darwin Machís,Granada CF,Forward,2.0,4.0,1381.0,,2.0,s2122
Darío Benedetto,,,,,,,,s2122
Darío Poveda,SD Huesca,Forward,,2.0,788.0,,1.0,s2122
Darío Ramos,CA Osasuna,Goalkeeper,,,,,,s2122
David Alaba,Real Madrid,Defender,3.0,2.0,2644.0,,2.0,s2122
David García,CA Osasuna,Defender,,4.0,3105.0,,8.0,s2122
David Gil,Cádiz CF,Goalkeeper,,,,,,s2122
David López,RCD Espanyol de Barcelona,Midfielder,,,743.0,,1.0,s2122
David Silva,Real Sociedad,Midfielder,4.0,2.0,1731.0,1.0,4.0,s2122
David Soria,Getafe CF,Goalkeeper,,,3415.0,,4.0,s2122
David Timor,SD Huesca,Midfielder,,,1307.0,,6.0,s2122
Denis Cheryshev,Valencia CF,Forward,1.0,,555.0,,1.0,s2122
Denis Suárez,RC Celta,Midfielder,6.0,4.0,2835.0,,4.0,s2122
Diego Bri,Elche CF,Midfielder,,,,,,s2122
Diego Carlos Santos Silva,,,,,,,,s2122
Diego Conde,Getafe CF,Goalkeeper,,,5.0,,,s2122
Diego González,Elche CF,Defender,,,1788.0,1.0,3.0,s2122
Diego Lainez,Real Betis,Midfielder,,,135.0,,,s2122
Diego López,Valencia CF,Forward,,,,,,s2122
Diego López,RCD Espanyol de Barcelona,Goalkeeper,,,3178.0,,4.0,s2122
Diego López,Getafe CF,Midfielder,,,,,,s2122
Diego Piñeiro del Álamo,Real Madrid,Goalkeeper,,,,,,s2122
Diego Rico,Real Sociedad,Defender,,,1646.0,,4.0,s2122
Dimitri Foulquier,Valencia CF,Defender,1.0,,2339.0,,11.0,s2122
Djené Dakonam,Getafe CF,Defender,1.0,,3117.0,1.0,11.0,s2122
Domingos de Sousa Coutinho Meneses Duarte,Granada CF,Defender,,1.0,1689.0,1.0,7.0,s2122
Dominik Greif,RCD Mallorca,Goalkeeper,,,90.0,,,s2122
Dídac Vilá,RCD Espanyol de Barcelona,Defender,,,197.0,,3.0,s2122
Eden Hazard,Real Madrid,Forward,1.0,,713.0,,2.0,s2122
Éder Gabriel Militão,Real Madrid,Defender,2.0,1.0,3033.0,,5.0,s2122
Edgar Badia,Elche CF,Goalkeeper,,,2160.0,,2.0,s2122
Edgar González,Real Betis,Midfielder,1.0,1.0,1457.0,,6.0,s2122
Edgar Méndez,Deportivo Alavés,Forward,1.0,1.0,1614.0,,6.0,s2122
Eduardo Camavinga,Real Madrid,Midfielder,1.0,2.0,1229.0,,9.0,s2122
Emerson Aparecido Leite de Souza Junior,Spurs,Defender,1.0,1.0,2289.0,,5.0,s2122
Enes Ünal,Getafe CF,Forward,1.0,16.0,2809.0,,8.0,s2122
Enis Bardhi,Levante UD,Midfielder,3.0,3.0,1700.0,,3.0,s2122
Enric Franquesa,Levante UD,Midfielder,,,616.0,,1.0,s2122
Enzo Roco,Elche CF,Defender,,1.0,2555.0,,10.0,s2122
Eray Cömert,Valencia CF,Defender,,,408.0,,2.0,s2122
Eric García,FC Barcelona,Defender,,,2041.0,1.0,5.0,s2122
Erick Cabaco,Getafe CF,Defender,1.0,,403.0,,3.0,s2122
Erik Lamela,Sevilla FC,Midfielder,2.0,5.0,1014.0,,5.0,s2122
Estanislau Pedrola Fortuny,FC Barcelona,Forward,,,10.0,,,s2122
Esteban Saveljich,Rayo Vallecano,Defender,,,1707.0,,4.0,s2122
Étienne Capoue,Villarreal CF,Midfielder,1.0,1.0,2295.0,,9.0,s2122
Ezequiel Ponce,Elche CF,Forward,,1.0,662.0,1.0,1.0,s2122
Facundo Pellistri,Deportivo Alavés,Forward,,,663.0,,,s2122
Rafael Jiménez Jarque,Cádiz CF,Defender,2.0,,1810.0,,6.0,s2122
Federico San Emeterio Díaz,Cádiz CF,Midfielder,,,836.0,,3.0,s2122
