player_name,team,shirt_number,country,position,age,minutes_played,goals,assists,Penalty Shoot on Goal,Penalty Shoot,Total Shoot,Shoot on Target,yellow_cards,red_cards,Touches,Dribbles,Tackles,Blocks,Expected Goals (xG),Non-Penalty xG (npxG),Expected Assists (xAG),Shot-Creating Actions,Goal-Creating Actions,Passes Completed,Passes Attempted,Pass Completion %,Progressive Passes,Carries,Progressive Carries,Dribble Attempts,Successful Dribbles,Date
Chrisantus Uche,Getafe,6,NGA,FW,21-088,90,1,0,0,0,1,1,1,0,26,2,0,0,0.0,0.0,0.0,0,0,7,11,"63,6",0,18,0,2,0,2024-08-15
Álex Sola,Getafe,7,ESP,LM,25-067,78,0,0,0,0,1,0,0,0,18,1,0,1,0.0,0.0,0.0,2,0,5,10,"50,0",1,12,1,3,1,2024-08-15
Jesús Santiago,Getafe,20,ESP,CM,20-082,12,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-08-15
Mauro Arambarri,Getafe,8,URU,CM,28-320,39,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,9,"44,4",0,5,0,1,0,2024-08-15
Carles Aleñá,Getafe,11,ESP,"CM,RM",26-223,51,0,0,0,0,1,1,0,0,21,2,0,1,0.5,0.5,0.0,1,0,9,15,"60,0",0,10,0,1,1,2024-08-15
Luis Milla,Getafe,5,ESP,CM,29-313,90,0,1,0,0,0,0,0,0,45,0,1,2,0.0,0.0,0.1,3,1,18,34,"52,9",3,15,1,1,0,2024-08-15
Carles Pérez,Getafe,17,ESP,RM,26-181,45,0,0,0,0,2,0,0,0,21,0,0,1,0.0,0.0,0.0,3,0,6,9,"66,7",1,14,1,4,3,2024-08-15
Peter Federico,Getafe,19,DOM,"RM,LM",22-021,45,0,0,0,0,1,0,0,0,11,0,0,0,0.2,0.2,0.0,0,0,5,8,"62,5",0,4,0,0,0,2024-08-15
Nabil Aberdin,Getafe,27,FRA,DM,21-358,90,0,0,0,0,1,0,0,0,29,4,0,0,0.0,0.0,0.0,1,0,11,20,"55,0",3,11,1,1,1,2024-08-15
Diego Rico,Getafe,16,ESP,LB,31-174,90,0,0,0,0,0,0,0,0,42,5,0,1,0.0,0.0,0.0,2,0,23,31,"74,2",1,13,0,0,0,2024-08-15
Omar Alderete,Getafe,15,PAR,CB,27-233,90,0,0,0,0,2,0,0,0,36,1,0,1,0.0,0.0,0.5,2,0,16,28,"57,1",1,18,0,0,0,2024-08-15
Djené Dakonam,Getafe,2,TOG,CB,32-228,90,0,0,0,0,0,0,0,0,27,0,2,0,0.0,0.0,0.0,0,0,13,17,"76,5",1,7,0,0,0,2024-08-15
Juan Antonio Iglesias,Getafe,21,ESP,RB,26-043,90,0,0,0,0,0,0,0,0,45,5,6,2,0.0,0.0,0.0,1,1,15,29,"51,7",0,13,0,0,0,2024-08-15
David Soria,Getafe,13,ESP,GK,31-133,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,8,18,"44,4",0,12,0,0,0,2024-08-15
Aitor Ruibal,Real Betis,24,ESP,FW,28-146,69,0,0,0,0,3,1,1,0,23,1,0,0,0.4,0.4,0.1,4,0,11,16,"68,8",2,16,2,0,0,2024-08-15
Ezequiel Ávila,Real Betis,9,ARG,FW,30-191,21,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.1,2,0,5,5,"100,0",0,4,0,0,0,2024-08-15
Juanmi,Real Betis,7,ESP,LW,31-087,58,0,0,0,0,1,0,0,0,23,3,1,3,0.1,0.1,0.3,1,0,8,10,"80,0",1,11,1,2,1,2024-08-15
Abde Ezzalzouli,Real Betis,10,MAR,LW,22-242,32,0,0,0,0,0,0,0,0,16,3,1,0,0.0,0.0,0.0,0,0,8,9,"88,9",2,10,2,4,3,2024-08-15
Pablo Fornals,Real Betis,18,ESP,RW,28-175,58,0,0,0,0,2,0,0,0,28,1,2,0,0.1,0.1,0.0,6,0,15,21,"71,4",5,19,1,1,0,2024-08-15
Rodri,Real Betis,17,ESP,RW,24-091,32,0,0,0,0,1,1,0,0,26,1,1,1,0.1,0.1,0.0,3,0,11,15,"73,3",2,19,3,2,0,2024-08-15
Nabil Fekir,Real Betis,8,FRA,AM,31-028,90,0,1,0,0,2,0,0,0,44,3,0,0,0.0,0.0,0.5,9,1,29,34,"85,3",5,30,5,2,0,2024-08-15
Marc Roca,Real Betis,21,ESP,DM,27-263,76,0,0,0,0,0,0,0,0,23,0,1,0,0.0,0.0,0.0,1,0,14,18,"77,8",2,13,0,0,0,2024-08-15
Sergi Altimira,Real Betis,16,ESP,DM,22-356,14,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.1,2,0,18,20,"90,0",3,16,0,0,0,2024-08-15
William Carvalho,Real Betis,14,POR,DM,32-130,76,0,0,0,0,2,1,0,0,43,1,1,1,0.1,0.1,0.0,3,0,31,35,"88,6",2,31,1,1,0,2024-08-15
Johnny Cardoso,Real Betis,4,USA,DM,22-330,14,0,0,0,0,2,0,0,0,16,0,1,2,0.1,0.1,0.0,0,0,10,10,"100,0",0,9,0,0,0,2024-08-15
Romain Perraud,Real Betis,15,FRA,LB,26-328,90,0,0,0,0,2,0,1,0,48,2,1,0,0.1,0.1,0.0,3,1,22,33,"66,7",0,27,2,3,2,2024-08-15
Diego Llorente,Real Betis,3,ESP,CB,30-365,90,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,0,0,44,53,"83,0",0,43,0,1,1,2024-08-15
Marc Bartra,Real Betis,5,ESP,CB,33-213,90,1,0,0,0,1,1,0,0,58,1,2,2,0.2,0.2,0.0,0,0,38,45,"84,4",1,41,0,0,0,2024-08-15
Youssouf Sabaly,Real Betis,23,SEN,RB,31-163,90,0,0,0,0,2,0,0,0,48,2,1,0,0.1,0.1,0.0,1,0,30,37,"81,1",3,21,0,0,0,2024-08-15
Rui Silva,Real Betis,1,POR,GK,30-190,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,34,42,"81,0",0,24,0,0,0,2024-08-15
Abel Ruiz,Girona,9,ESP,FW,24-200,80,0,0,0,0,2,0,0,0,24,0,1,2,0.3,0.3,0.0,0,0,14,15,"93,3",4,17,1,0,0,2024-08-15
Ladislav Krejčí,Girona,18,CZE,CB,25-117,10,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,11,11,"100,0",0,9,0,0,0,2024-08-15
Cristian Portu,Girona,24,ESP,LW,32-086,65,0,0,0,0,1,0,0,0,34,0,0,3,0.0,0.0,0.0,1,0,19,27,"70,4",0,24,1,0,0,2024-08-15
Iker Almena,Girona,30,ESP,"WB,LW",20-103,25,0,1,0,0,1,0,0,0,16,0,0,1,0.0,0.0,0.6,2,2,8,11,"72,7",1,11,3,1,1,2024-08-15
Bryan Gil,Girona,20,ESP,RW,23-186,80,0,0,0,0,4,1,0,0,65,4,1,1,0.2,0.2,0.1,6,0,39,48,"81,3",6,48,2,5,3,2024-08-15
Cristhian Stuani,Girona,7,URU,FW,37-308,10,0,0,0,0,1,0,0,0,3,0,0,0,0.2,0.2,0.0,0,0,1,1,"100,0",0,2,0,0,0,2024-08-15
Iván Martín,Girona,23,ESP,"LM,CM",25-183,90,0,0,0,0,0,0,0,0,80,1,0,1,0.0,0.0,0.3,5,0,63,72,"87,5",9,58,5,2,0,2024-08-15
Oriol Romeu,Girona,14,ESP,CM,32-326,65,0,0,0,0,0,0,0,0,59,0,1,1,0.0,0.0,0.0,1,0,49,54,"90,7",3,45,0,0,0,2024-08-15
Jhon Solis,Girona,22,COL,CM,19-317,25,0,0,0,0,1,0,0,0,25,0,0,2,0.0,0.0,0.0,0,0,18,19,"94,7",2,20,0,1,0,2024-08-15
Yangel Herrera,Girona,21,VEN,RM,26-214,70,0,0,0,0,1,0,0,0,55,7,0,2,0.1,0.1,0.2,2,0,28,40,"70,0",7,35,1,2,1,2024-08-15
Gabriel Osei Misehouy,Girona,27,NED,"FW,RM",19-028,20,1,0,0,0,2,1,0,0,10,0,0,0,0.8,0.8,0.0,1,0,6,7,"85,7",2,7,1,0,0,2024-08-15
Miguel Gutiérrez,Girona,3,ESP,"LB,WB",23-019,90,0,0,0,0,0,0,0,0,68,1,0,1,0.0,0.0,0.2,3,0,50,59,"84,7",2,37,3,2,0,2024-08-15
Daley Blind,Girona,17,NED,CB,34-159,90,0,0,0,0,0,0,0,0,91,4,5,2,0.0,0.0,0.0,2,0,71,80,"88,8",9,72,2,3,3,2024-08-15
David López,Girona,5,ESP,CB,34-311,90,0,0,0,0,0,0,0,0,70,2,0,4,0.0,0.0,0.0,0,0,58,59,"98,3",1,46,0,0,0,2024-08-15
Arnau Martinez,Girona,4,ESP,"RB,CM",21-112,90,0,0,0,0,0,0,0,0,90,2,0,0,0.0,0.0,0.0,0,0,76,87,"87,4",9,48,0,0,0,2024-08-15
Paulo Gazzaniga,Girona,13,ARG,GK,32-226,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,31,43,"72,1",0,32,0,0,0,2024-08-15
Anastasios Douvikas,Celta Vigo,9,GRE,FW,25-014,77,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,1,0,7,10,"70,0",1,16,0,4,1,2024-08-16
Borja Iglesias,Celta Vigo,7,ESP,FW,31-212,13,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,2,5,"40,0",0,7,0,0,0,2024-08-16
Jonathan Bamba,Celta Vigo,17,CIV,AM,28-143,45,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,0,0,17,21,"81,0",4,14,0,1,0,2024-08-16
Jailson Siqueira,Celta Vigo,16,BRA,AM,28-344,45,0,0,0,0,0,0,0,0,44,1,2,2,0.0,0.0,0.0,0,0,30,34,"88,2",3,29,1,1,1,2024-08-16
Iago Aspas,Celta Vigo,10,ESP,AM,37-015,90,1,0,0,0,3,2,1,0,42,0,0,0,0.7,0.7,0.0,0,0,24,33,"72,7",7,32,3,1,1,2024-08-16
Fran Beltrán,Celta Vigo,8,ESP,CM,25-195,64,0,0,0,0,1,0,0,0,51,2,1,0,0.0,0.0,0.0,2,0,37,41,"90,2",7,25,0,0,0,2024-08-16
Ilaix Moriba,Celta Vigo,6,GUI,CM,21-210,26,0,0,0,0,0,0,0,0,23,4,0,0,0.0,0.0,0.1,1,0,13,16,"81,3",1,9,0,1,0,2024-08-16
Damián Rodríguez,Celta Vigo,28,ESP,CM,21-152,90,0,0,0,0,0,0,1,0,58,1,3,1,0.0,0.0,0.0,0,0,44,51,"86,3",5,27,0,0,0,2024-08-16
Óscar Mingueza,Celta Vigo,3,ESP,WB,25-095,90,0,0,0,0,1,1,0,0,83,3,1,0,0.0,0.0,0.3,2,1,56,75,"74,7",8,39,4,1,1,2024-08-16
Hugo Álvarez,Celta Vigo,30,ESP,WB,21-045,90,0,1,0,0,0,0,0,0,69,3,0,0,0.0,0.0,0.1,1,1,40,54,"74,1",2,38,3,6,2,2024-08-16
Carlos Domínguez,Celta Vigo,24,ESP,CB,23-187,90,0,0,0,0,0,0,0,0,99,0,1,1,0.0,0.0,0.0,0,0,79,92,"85,9",9,53,2,0,0,2024-08-16
Carl Starfelt,Celta Vigo,2,SWE,CB,29-076,45,0,0,0,0,0,0,0,0,62,0,2,0,0.0,0.0,0.0,1,0,58,59,"98,3",3,37,0,0,0,2024-08-16
Williot Swedberg,Celta Vigo,19,SWE,CB,20-197,45,1,1,0,0,1,1,0,0,16,0,0,0,0.1,0.1,0.3,1,1,8,9,"88,9",2,9,1,2,0,2024-08-16
Javier Manquillo,Celta Vigo,22,ESP,CB,30-103,45,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,37,44,"84,1",2,22,0,0,0,2024-08-16
Javi Rodríguez,Celta Vigo,32,ESP,WB,21-051,45,0,0,0,0,0,0,0,0,37,1,1,1,0.0,0.0,0.0,2,0,26,29,"89,7",2,17,1,1,0,2024-08-16
Iván Villar,Celta Vigo,1,ESP,GK,27-038,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,21,24,"87,5",0,12,0,0,0,2024-08-16
Kike García,Alavés,17,ESP,FW,34-265,79,1,0,0,0,4,1,0,0,24,1,0,0,0.6,0.6,0.0,2,0,8,12,"66,7",1,15,0,1,0,2024-08-16
Asier Villalibre,Alavés,9,ESP,FW,26-321,11,0,0,0,0,1,1,0,0,4,0,0,0,0.3,0.3,0.0,0,0,3,3,"100,0",0,2,1,0,0,2024-08-16
Tomás Conechny,Alavés,10,ARG,LW,26-139,67,0,0,0,0,0,0,1,0,26,2,0,2,0.0,0.0,0.0,0,0,10,17,"58,8",1,15,1,1,0,2024-08-16
Luis Rioja,Alavés,11,ESP,LW,30-305,23,0,0,0,0,0,0,0,0,15,2,0,2,0.0,0.0,0.1,1,0,5,11,"45,5",1,8,4,0,0,2024-08-16
Luka Romero,Alavés,20,ARG,RW,19-272,57,0,0,0,0,0,0,0,0,20,0,1,1,0.0,0.0,0.0,1,0,10,15,"66,7",0,10,0,1,0,2024-08-16
Hugo Novoa,Alavés,16,ESP,RW,21-228,33,0,0,0,0,1,0,0,0,15,0,0,1,0.5,0.5,0.0,2,0,7,10,"70,0",2,10,0,3,2,2024-08-16
Jon Guridi,Alavés,18,ESP,AM,29-170,67,0,0,0,0,1,0,0,0,29,1,0,0,0.0,0.0,0.0,1,1,15,23,"65,2",2,16,1,0,0,2024-08-16
Stoichkov,Alavés,19,ESP,AM,30-285,23,0,0,0,0,1,0,0,0,13,1,0,0,0.1,0.1,0.0,2,0,4,7,"57,1",2,9,2,2,0,2024-08-16
Antonio Blanco,Alavés,8,ESP,DM,24-024,90,0,1,0,0,2,0,0,0,45,2,2,0,0.1,0.1,0.3,2,1,31,35,"88,6",6,24,0,0,0,2024-08-16
Ander Guevara,Alavés,6,ESP,DM,27-040,79,0,0,0,0,0,0,0,0,52,1,1,1,0.0,0.0,0.0,3,0,33,42,"78,6",6,24,2,2,2,2024-08-16
Carlos Benavídez,Alavés,23,URU,DM,26-139,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.3,1,0,3,5,"60,0",2,5,0,1,0,2024-08-16
Moussa Diarra,Alavés,22,MLI,LB,23-280,90,0,0,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.0,1,0,26,35,"74,3",2,18,1,0,0,2024-08-16
Nahuel Tenaglia,Alavés,14,ARG,CB,28-177,90,0,0,0,0,0,0,0,0,33,3,0,0,0.0,0.0,0.0,0,0,16,22,"72,7",0,10,0,1,0,2024-08-16
Abdel Abqar,Alavés,5,MAR,CB,25-159,90,0,0,0,0,0,0,1,0,35,1,2,1,0.0,0.0,0.0,0,0,16,27,"59,3",1,16,0,0,0,2024-08-16
Carlos Vicente,Alavés,7,ESP,RB,25-115,90,0,0,0,0,0,0,0,0,58,2,2,0,0.0,0.0,0.1,2,0,42,48,"87,5",4,24,3,3,0,2024-08-16
Antonio Sivera,Alavés,1,ESP,GK,28-005,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,12,32,"37,5",0,12,0,0,0,2024-08-16
Oliver McBurnie,Las Palmas,16,SCO,FW,28-073,86,0,0,0,0,1,1,0,0,29,1,1,2,0.5,0.5,0.0,4,0,11,16,"68,8",1,18,0,0,0,2024-08-16
Marc Cardona,Las Palmas,9,ESP,FW,29-039,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,"33,3",0,2,0,0,0,2024-08-16
Alberto Moleiro,Las Palmas,10,ESP,LW,20-321,86,0,0,0,0,5,3,0,0,33,0,0,0,0.3,0.3,0.0,5,0,16,18,"88,9",2,24,3,9,2,2024-08-16
Aboubacar Bassinga,Las Palmas,26,CIV,AM,19-034,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,"50,0",0,3,0,0,0,2024-08-16
Jaime Mata,Las Palmas,17,ESP,RW,35-297,67,0,0,0,0,1,0,0,0,22,1,1,1,0.1,0.1,0.0,0,0,7,15,"46,7",1,15,2,0,0,2024-08-16
Sandro Ramírez,Las Palmas,19,ESP,RW,29-038,23,1,0,0,0,2,1,0,0,11,1,2,0,0.2,0.2,0.0,0,0,3,5,"60,0",1,9,0,1,0,2024-08-16
Javier Muñoz,Las Palmas,5,ESP,"AM,DM",29-170,90,0,1,0,0,2,0,0,0,47,1,1,1,0.2,0.2,0.4,4,1,28,37,"75,7",7,27,1,0,0,2024-08-16
Kirian Rodríguez,Las Palmas,20,ESP,DM,28-164,90,0,0,0,0,1,0,0,0,88,1,0,2,0.0,0.0,0.0,1,0,65,80,"81,3",8,47,0,0,0,2024-08-16
Enzo Loiodice,Las Palmas,12,FRA,DM,23-263,68,0,0,0,0,0,0,0,0,55,1,1,2,0.0,0.0,0.1,4,0,38,47,"80,9",3,28,1,0,0,2024-08-16
Manuel Fuster,Las Palmas,14,ESP,"DM,LW",26-299,22,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,3,1,11,17,"64,7",1,13,0,3,1,2024-08-16
Álex Muñoz,Las Palmas,23,ESP,LB,30-017,68,0,0,0,0,1,0,0,0,59,5,2,2,0.0,0.0,0.3,3,0,32,44,"72,7",4,25,1,0,0,2024-08-16
Scott McKenna,Las Palmas,15,SCO,"LB,CB",27-278,22,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,13,15,"86,7",0,14,0,0,0,2024-08-16
Mika Màrmol,Las Palmas,3,ESP,"CB,LB",22-045,90,0,0,0,0,2,0,1,0,67,1,0,1,0.1,0.1,0.1,2,0,53,60,"88,3",3,50,0,0,0,2024-08-16
Álex Suárez,Las Palmas,4,ESP,CB,31-151,90,0,0,0,0,0,0,0,0,56,3,1,0,0.0,0.0,0.0,0,0,44,49,"89,8",0,33,0,0,0,2024-08-16
Marvin Park,Las Palmas,2,ESP,RB,24-044,75,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.5,2,0,21,29,"72,4",2,13,3,0,0,2024-08-16
Viti,Las Palmas,18,ESP,RB,26-335,15,0,0,0,0,0,0,1,0,12,0,0,0,0.0,0.0,0.0,0,0,8,9,"88,9",0,5,0,0,0,2024-08-16
Jasper Cillessen,Las Palmas,1,NED,GK,35-116,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,31,41,"75,6",0,33,0,0,0,2024-08-16
Isaac Romero,Sevilla,7,ESP,FW,24-090,82,0,1,0,0,2,0,0,0,32,0,0,1,0.1,0.1,0.4,2,1,15,19,"78,9",0,16,2,1,0,2024-08-16
Peque,Sevilla,14,ESP,FW,21-317,8,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,7,"71,4",1,2,1,1,0,2024-08-16
Dodi Lukebakio,Sevilla,11,BEL,"LW,RW",26-327,73,0,0,0,0,2,0,0,0,26,0,0,0,0.3,0.3,0.2,3,0,16,19,"84,2",1,19,3,3,2,2024-08-16
Jesús Navas,Sevilla,16,ESP,RW,38-269,17,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.2,4,0,18,20,"90,0",2,13,0,0,0,2024-08-16
Lucas Ocampos,Sevilla,5,ARG,"LW,RW",30-036,90,0,0,0,0,4,2,0,0,64,1,0,2,0.2,0.2,0.3,6,1,37,50,"74,0",6,30,5,7,2,2024-08-16
Juanlu Sánchez,Sevilla,26,ESP,AM,21-001,82,1,0,0,0,2,1,1,0,41,1,2,0,0.6,0.6,0.1,5,0,24,29,"82,8",2,21,1,2,0,2024-08-16
Kike Salas,Sevilla,4,ESP,CB,22-115,8,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,12,15,"80,0",2,9,0,0,0,2024-08-16
Djibril Sow,Sevilla,20,SUI,"DM,AM",27-192,90,0,0,0,0,3,2,0,0,57,2,2,0,0.5,0.5,0.0,6,0,38,42,"90,5",4,23,1,1,0,2024-08-16
Lucien Agoume,Sevilla,18,FRA,DM,22-189,90,0,0,0,0,0,0,0,0,67,3,1,3,0.0,0.0,0.0,1,0,39,54,"72,2",4,24,2,0,0,2024-08-16
Adrià Pedrosa,Sevilla,3,ESP,LB,26-095,90,0,0,0,0,1,0,1,0,48,0,0,2,0.0,0.0,0.3,1,0,30,41,"73,2",1,14,2,2,2,2024-08-16
Nemanja Gudelj,Sevilla,6,SRB,"CB,DM",32-274,90,0,0,0,0,1,0,0,0,66,1,2,2,0.0,0.0,0.0,1,0,51,53,"96,2",2,29,0,0,0,2024-08-16
Tanguy Nianzou,Sevilla,24,FRA,CB,22-070,90,0,0,0,0,2,0,0,0,79,1,1,0,0.2,0.2,0.0,1,0,56,60,"93,3",5,36,1,1,1,2024-08-16
José Ángel Carmona,Sevilla,32,ESP,RB,22-200,90,0,0,0,0,1,0,0,0,78,4,2,1,0.0,0.0,0.0,2,0,56,66,"84,8",3,30,0,2,0,2024-08-16
Ørjan Nyland,Sevilla,13,NOR,GK,33-341,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,29,50,"58,0",0,27,0,0,0,2024-08-16
Ante Budimir,Osasuna,17,CRO,FW,33-026,90,0,0,0,0,3,1,0,0,39,2,0,1,0.2,0.2,0.0,1,0,15,25,"60,0",1,13,1,2,1,2024-08-17
Aimar Oroz,Osasuna,10,ESP,LW,22-264,89,0,0,0,0,4,1,0,0,58,2,2,2,0.7,0.7,0.1,4,0,38,42,"90,5",6,30,1,6,2,2024-08-17
Raúl García,Osasuna,9,ESP,LW,23-288,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,2024-08-17
Rubén García,Osasuna,14,ESP,RW,31-034,77,0,0,0,0,3,1,0,0,51,0,1,0,0.2,0.2,0.2,5,0,32,42,"76,2",4,27,1,2,1,2024-08-17
Rubén Peña,Osasuna,15,ESP,RW,33-030,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,2,7,"28,6",0,2,2,0,0,2024-08-17
Moi Gómez,Osasuna,16,ESP,LM,30-055,59,0,0,0,0,0,0,0,0,51,2,0,0,0.0,0.0,0.1,4,0,40,46,"87,0",4,23,0,1,0,2024-08-17
Bryan Zaragoza,Osasuna,19,ESP,LM,23-114,31,0,0,0,0,2,1,0,0,27,1,0,1,0.1,0.1,0.0,4,0,10,18,"55,6",1,16,1,5,2,2024-08-17
Lucas Torró,Osasuna,6,ESP,CM,30-029,90,0,0,0,0,0,0,0,0,80,3,2,0,0.0,0.0,0.0,1,0,47,64,"73,4",3,20,0,0,0,2024-08-17
Iker Muñoz,Osasuna,18,ESP,RM,21-286,45,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,19,29,"65,5",2,11,1,1,1,2024-08-17
Jon Moncayola,Osasuna,7,ESP,RM,26-096,45,0,0,0,0,1,0,1,0,31,0,0,2,0.2,0.2,0.7,2,0,18,28,"64,3",1,8,1,0,0,2024-08-17
Abel,Osasuna,23,ESP,LB,23-362,59,0,0,0,0,0,0,0,0,51,3,0,0,0.0,0.0,0.2,3,0,31,43,"72,1",2,15,2,0,0,2024-08-17
Juan Cruz Armada,Osasuna,3,ESP,LB,32-020,31,0,0,0,0,0,0,1,0,27,1,0,0,0.0,0.0,0.0,1,0,22,26,"84,6",3,8,1,0,0,2024-08-17
Jorge Herrando,Osasuna,5,ESP,CB,23-171,90,0,0,0,0,1,1,1,0,48,0,0,2,0.1,0.1,0.0,1,0,24,39,"61,5",2,17,2,0,0,2024-08-17
Alejandro Catena,Osasuna,24,ESP,CB,29-294,90,0,0,0,0,2,1,0,0,62,0,0,1,0.2,0.2,0.0,3,0,37,51,"72,5",4,23,2,1,1,2024-08-17
Jesús Areso,Osasuna,12,ESP,RB,25-046,90,0,0,0,0,0,0,0,0,58,1,0,0,0.0,0.0,0.1,2,0,34,48,"70,8",2,22,6,4,0,2024-08-17
Sergio Herrera,Osasuna,1,ESP,GK,31-073,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,15,20,"75,0",0,10,0,0,0,2024-08-17
