player_name,team,position,minutes_played,goals,assists,yellow_cards,red_cards,Shots per 90,Tackles per 90,Total Saves,Total Interceptions,Pass Success (%),Fouls Committed per 90,Expected Goals (xG),Clean Sheets,Big Chances Created,FotMob Rating
Beñat Turrientes,Real Sociedad,Not Available,1688,0,1,4,0,1.2,0.9,0,6,87.2,1.9,1.2,0,2,6.64
Benito Ramírez,Las Palmas,Not Available,368,1,1,0,0,2.4,0.7,0,3,80.1,1.0,0.4,0,1,
Bertrand Traoré,Villarreal,Not Available,569,1,0,4,0,,,0,0,,,0.9,0,0,
Borja Iglesias,Real Betis,Not Available,404,0,1,2,0,,,0,0,,,0.7,0,2,
Borja Mayoral,Getafe,Not Available,2162,15,1,2,0,2.0,0.2,0,4,77.7,1.3,11.9,0,2,7.13
Boubakary Soumaré,Sevilla,Not Available,2286,0,1,10,0,0.0,1.1,0,26,90.3,1.3,0.0,0,2,7.02
Brahim Díaz,Real Madrid,Not Available,1551,8,6,0,0,2.2,1.1,0,5,87.1,1.3,5.8,0,9,7.38
Brais Méndez,Real Sociedad,Not Available,2420,5,6,7,0,2.5,1.0,0,12,81.0,2.2,4.2,0,9,7.17
Brian Ocampo,Cádiz,Not Available,237,1,0,2,0,,,0,0,,,0.3,0,0,
Bruno Langa,Almería,Not Available,819,1,0,1,1,,,0,0,,,0.2,0,0,
Bruno Méndez,Granada CF,Not Available,1336,2,0,4,0,,,0,0,,,0.6,0,0,
Bryan Zaragoza,Granada CF,Not Available,1640,6,2,5,0,1.9,0.5,0,3,65.6,0.7,3.8,0,6,7.13
Caglar Söyüncü,Atlético de Madrid,Not Available,110,0,0,0,1,,,0,0,,,,0,0,
Carl Starfelt,Celta de Vigo,Not Available,2218,1,0,4,0,0.5,1.2,0,34,87.9,0.6,1.4,0,0,6.94
Carles Aleñá,Getafe,Not Available,1007,1,1,6,0,1.4,0.7,0,4,81.5,2.0,1.2,0,5,6.32
Carles Pérez,Celta de Vigo,Not Available,768,1,1,3,0,,,0,0,,,1.2,0,2,
Carlos Benavídez,Alavés,Not Available,1121,3,1,5,0,1.1,2.8,0,19,70.5,3.1,1.0,0,1,6.8
Carlos Domínguez,Celta de Vigo,Not Available,1585,0,0,2,0,0.3,1.2,0,22,79.2,0.9,0.3,0,0,6.69
Carlos Dotor,Celta de Vigo,Not Available,702,0,0,2,0,,,0,0,,,0.2,0,0,
Carlos Fernández,Real Sociedad,Not Available,406,2,1,3,0,,,0,0,,,1.5,0,1,
Carlos Neva,Granada CF,Not Available,3152,0,2,4,0,0.1,0.6,0,30,76.3,0.6,0.1,0,7,6.49
Carlos Romero,Villarreal,Not Available,259,0,0,1,0,,,0,0,,,0.4,0,0,
Carlos Vicente,Alavés,Not Available,1118,2,4,1,0,,,0,0,,,2.3,0,8,
Cenk Özkacar,Valencia CF,Not Available,1595,0,0,3,0,0.3,0.8,0,18,81.7,0.7,0.3,0,0,6.61
Chadi Riad,Real Betis,Not Available,2164,0,0,1,0,0.5,1.0,0,23,89.7,0.6,0.7,0,0,6.79
Christopher Ramos,Cádiz,Not Available,2627,5,1,5,0,2.6,0.5,0,9,57.6,2.1,10.2,0,2,6.45
Claudio Bravo,Real Betis,Not Available,630,0,0,0,0,,,0,0,,,,2,0,
Cristhian Mosquera,Valencia CF,Not Available,3074,0,0,2,0,0.3,1.0,0,36,88.6,0.7,0.7,0,0,6.71
Cristhian Stuani,Girona,Not Available,782,9,3,6,0,3.9,1.3,0,5,73.7,3.2,9.7,0,4,6.66
Cristian Herrera,Las Palmas,Not Available,159,1,0,1,0,,,0,0,,,0.9,0,0,
Cristian Portu,Girona,Not Available,1271,7,5,4,0,1.6,1.1,0,4,79.8,1.3,3.5,0,7,6.61
Cyle Larin,Mallorca,Not Available,1823,3,2,8,0,3.4,0.4,0,3,64.7,1.3,9.1,0,2,6.36
Cédric Bakambu,Real Betis,Not Available,195,0,0,1,0,,,0,0,,,0.4,0,1,
César Azpilicueta,Atlético de Madrid,Not Available,1421,0,2,4,0,0.1,0.9,0,16,86.1,1.8,0.6,0,6,6.88
César Montes,Almería,Not Available,1792,0,0,5,0,0.7,0.7,0,11,77.7,1.1,0.7,0,0,6.39
Daley Blind,Girona,Not Available,2971,1,2,6,0,0.5,0.6,0,21,90.3,0.6,1.9,0,2,7.26
Daley Sinkgraven,Las Palmas,Not Available,375,0,0,0,1,,,0,0,,,,0,0,
Damián Rodríguez,Celta de Vigo,Not Available,257,0,2,1,0,,,0,0,,,0.0,0,1,
Damián Suárez,Getafe,Not Available,1306,0,2,7,1,,,0,0,,,0.3,0,0,
Dani García,Athletic Club,Not Available,738,1,0,4,0,,,0,0,,,0.8,0,0,
Daniel Carvajal,Real Madrid,Not Available,2172,4,3,3,1,0.7,1.3,0,22,87.3,1.0,1.7,0,4,7.35
Daniel Ceballos,Real Madrid,Not Available,586,0,2,2,0,1.1,0.8,0,0,91.1,0.8,0.3,0,2,
Daniel Parejo,Villarreal,Not Available,2586,3,5,4,0,0.4,1.0,0,21,90.2,0.6,2.9,0,5,7.25
Daniel Rodriguez,Mallorca,Not Available,2632,2,4,9,0,0.9,0.8,0,15,77.3,2.1,1.4,0,7,6.74
Daniel Vivian,Athletic Club,Not Available,2879,0,0,6,0,0.3,0.9,0,31,84.4,1.2,0.8,0,1,6.99
Darwin Machís,Cádiz,Not Available,782,4,0,0,1,2.4,1.6,0,4,71.7,1.4,1.4,0,0,
David Alaba,Real Madrid,Not Available,1156,0,1,2,0,,,0,0,,,1.0,0,2,
David García,Osasuna,Not Available,2336,0,1,5,0,0.6,0.7,0,18,83.1,1.3,1.0,0,1,6.84
David Gil,Cádiz,Not Available,371,0,0,1,0,,,0,0,,,,1,0,
David López,Girona,Not Available,1975,3,0,4,0,0.7,0.9,0,20,92.9,0.8,2.1,0,0,6.98
David Soria,Getafe,Not Available,3414,0,0,3,0,,,123,0,48.4,0.0,,10,0,6.72
Denis Suárez,Villarreal,Not Available,130,0,0,0,0,,,0,0,,,0.1,0,1,
Diadie Samassékou,Cádiz,Not Available,87,0,0,0,0,,,0,0,,,0.0,0,0,
Diego López,Valencia CF,Not Available,2671,3,6,2,0,1.4,0.8,0,20,69.0,0.9,3.7,0,11,6.82
Diego Rico,Getafe,Not Available,2536,0,7,10,0,0.6,1.7,0,41,67.4,1.1,0.3,0,8,7.14
Dimitri Foulquier,Valencia CF,Not Available,1833,0,0,3,0,0.3,1.1,0,16,72.9,1.2,0.7,0,2,6.72
Dion Lopy,Almería,Not Available,1917,0,0,5,0,1.1,1.7,0,15,85.0,1.4,1.3,0,3,6.74
Djené Dakonam,Getafe,Not Available,2490,0,0,12,1,0.2,0.7,0,23,78.6,1.8,0.1,0,0,6.71
Djibril Sow,Sevilla,Not Available,1469,1,1,5,0,1.1,1.3,0,17,85.8,1.7,1.5,0,1,6.74
Dodi Lukebakio,Sevilla,Not Available,1124,5,1,0,0,3.4,0.2,0,2,84.2,1.9,5.6,0,0,6.72
Domingos Duarte,Getafe,Not Available,905,0,0,3,2,,,0,0,,,0.3,0,0,
Dominik Greif,Mallorca,Not Available,90,0,0,0,0,,,0,0,,,,1,0,
Edgar González,Almería,Not Available,2528,2,0,5,1,0.5,0.7,0,38,85.4,1.0,2.4,0,0,6.5
Eduardo Camavinga,Real Madrid,Not Available,1824,0,2,9,0,0.8,2.3,0,29,91.3,2.4,0.9,0,2,7.27
Enes Ünal,Getafe,Not Available,138,0,1,0,0,,,0,0,,,0.1,0,1,
Enrique Barja,Osasuna,Not Available,293,0,0,3,0,,,0,0,,,0.2,0,1,
Enzo Loiodice,Las Palmas,Not Available,1792,0,1,2,0,0.8,1.8,0,12,84.3,1.6,0.6,0,1,6.66
Eric Bailly,Villarreal,Not Available,838,0,0,4,0,,,0,0,,,0.2,0,0,
Eric García,Girona,Not Available,2697,5,0,5,0,0.6,1.2,0,30,90.3,0.8,2.9,0,1,7.14
Erik Lamela,Sevilla,Not Available,459,2,0,3,0,,,0,0,,,1.0,0,2,
Ezequiel Ávila,Osasuna,Not Available,1166,0,3,0,0,,,0,0,,,,0,3,
Ezequiel Ávila,Real Betis,Not Available,1166,2,0,5,3,2.8,0.2,0,5,71.7,0.8,2.8,0,0,6.55
Fabio González,Las Palmas,Not Available,121,0,0,1,0,,,0,0,,,,0,0,
Fabricio Angileri,Getafe,Not Available,160,0,0,2,1,,,0,0,,,,0,3,
Facundo Pellistri,Granada CF,Not Available,1220,2,1,0,1,,,0,0,,,2.5,0,1,
Faitout Maouassa,Granada CF,Not Available,244,0,1,0,0,,,0,0,,,0.2,0,1,
Fali,Cádiz,Not Available,2550,0,0,12,0,0.4,0.9,0,27,77.3,0.8,0.8,0,0,6.74
Famara Diédhiou,Granada CF,Not Available,82,0,1,1,0,,,0,0,,,0.5,0,1,
Federico San Emeterio,Cádiz,Not Available,155,1,0,1,1,,,0,0,,,0.1,0,0,
Federico Valverde,Real Madrid,Not Available,2910,2,7,2,0,1.7,1.1,0,43,91.2,0.6,3.6,0,9,7.5
